frames, 20
data, sphere
m, 0.2, 0.2, 0.2, 0.8, 0.5, 0.5, 1.0, 1.0, 1.0, 20.0, 0.0, 0.0, 0.0
f, 0, 0, 0, 1
f, 0.2, 0.2, 0.1, 5
f, 0.4, 0.4, 0.2, 5
f, 0.6, 0.6, 0.3, 5
f, 0.8, 0.8, 0.4, 5
f, 1, 1, 0.5, 5
f, 1.1, 1.2, 0.7, 5
f, 1.2, 1.4, 0.9, 5
f, 1.3, 1.6, 1.1, 5
f, 1.4, 1.8, 1.3, 5
f, 1.5, 2.0, 1.5, 5
f, 1.5, 2.0, 1.5, 5
f, 1.4, 1.8, 1.3, 5
f, 1.3, 1.6, 1.1, 5
f, 1.2, 1.4, 0.9, 5
f, 1.1, 1.2, 0.7, 5
f, 1, 1, 0.5, 5
f, 0.8, 0.8, 0.4, 5
f, 0.6, 0.6, 0.3, 5
f, 0.4, 0.4, 0.2, 5
f, 0.2, 0.2, 0.1, 5
data, sphere
m, 0.2, 0.2, 0.2, 0.8, 0.5, 0.5, 1.0, 1.0, 1.0, 20.0, 0.0, 0.0, 0.0
f, 2, 2, 2, 1.2
f, 2, 2, 2, 1.4
f, 2, 2, 2, 1.6
f, 2, 2, 2, 1.8
f, 2, 2, 2, 2
f, 2, 2, 2, 2.2
f, 2, 2, 2, 2.4
f, 2, 2, 2, 2.6
f, 2, 2, 2, 2.8
f, 2, 2, 2, 3
f, 2, 2, 2, 3.2
f, 2, 2, 2, 3.4
f, 2, 2, 2, 3.6
f, 2, 2, 2, 3.8
f, 2, 2, 2, 4
f, 2, 2, 2, 4.2
f, 2, 2, 2, 4.4
f, 2, 2, 2, 4.6
f, 2, 2, 2, 4.8
f, 2, 2, 2, 5
f, 2, 2, 2, 0
